x          rho        P          Br         Bphi       Bz         ur         uphi       uz         T         
0.760761   0.060281   0.004952   0.442296   0.466234   0.392789   0.261068   0.427810   0.351000   0.167036  
0.780781   0.375893   0.418451   0.419374   0.492366   0.034904   0.469712   0.370251   0.256317   0.198823  
0.800801   0.049593   0.067048   0.154108   0.201514   0.239512   0.088067   0.151321   0.215795   0.215242  
0.820821   0.211967   0.164957   0.199709   0.095023   0.371740   0.362137   0.216879   0.028435   0.234485  
0.840841   0.173536   0.208041   0.251146   0.173388   0.453073   0.204702   0.328060   0.195500   0.050732  
0.860861   0.083315   0.192624   0.279671   0.387872   0.170769   0.230831   0.387774   0.291565   0.371800  
0.880881   0.047452   0.410373   0.382485   0.053152   0.322085   0.128238   0.387526   0.321179   0.304368  
0.900901   0.492135   0.435157   0.482202   0.118920   0.185175   0.235216   0.193995   0.395831   0.214367  
0.920921   0.358118   0.485937   0.469708   0.221567   0.168706   0.236320   0.018530   0.390881   0.269795  
0.940941   0.434318   0.478960   0.288062   0.294618   0.208716   0.157565   0.310874   0.201855   0.271466  
0.960961   0.097100   0.218556   0.140293   0.157449   0.178606   0.122439   0.045422   0.227553   0.129583  
0.980981   0.430545   0.147869   0.480702   0.393055   0.438282   0.237029   0.193987   0.380400   0.173086  
1.001001   0.318697   0.317380   0.190195   0.477518   0.211740   0.250246   0.136073   0.451996   0.441003  
1.021021   0.229334   0.150164   0.327302   0.052091   0.089702   0.401108   0.463547   0.383307   0.483235  
1.041041   0.419247   0.419560   0.396110   0.468790   0.352093   0.007811   0.120914   0.165755   0.007544  
1.061061   0.361469   0.365687   0.256003   0.242813   0.392836   0.310194   0.348614   0.236221   0.303295  
1.081081   0.257348   0.103635   0.386257   0.158874   0.498521   0.277494   0.132747   0.455567   0.126286  
1.101101   0.448514   0.036282   0.499296   0.167575   0.306852   0.490825   0.062834   0.417102   0.240972  
1.121121   0.137485   0.340996   0.032332   0.336919   0.038278   0.233000   0.078260   0.067466   0.284393  
1.141141   0.104359   0.482370   0.176792   0.378716   0.278601   0.340486   0.327997   0.268881   0.401372  
1.161161   0.024791   0.414444   0.381107   0.467786   0.149561   0.225215   0.058149   0.199657   0.449947  
1.181181   0.400976   0.413879   0.336482   0.360508   0.311987   0.009624   0.238462   0.269654   0.113683  
1.201201   0.309053   0.169669   0.404581   0.472200   0.421598   0.108519   0.113144   0.108368   0.397227  
1.221221   0.000433   0.439344   0.473367   0.316628   0.395891   0.053941   0.003237   0.165313   0.408630  
1.241241   0.132063   0.190288   0.336375   0.404864   0.393557   0.305982   0.407807   0.404257   0.213995  
1.261261   0.340138   0.059981   0.239274   0.366158   0.123034   0.457070   0.407255   0.048718   0.010450  
1.281281   0.283360   0.294759   0.264365   0.093702   0.126971   0.453251   0.203386   0.142412   0.351850  
1.301301   0.345693   0.209259   0.446049   0.135983   0.470593   0.339753   0.375480   0.008708   0.164089  
1.321321   0.002257   0.410031   0.181306   0.368849   0.201041   0.419952   0.070398   0.387901   0.385507  
1.341341   0.284811   0.058094   0.426677   0.172007   0.465827   0.253098   0.274415   0.176044   0.467495  
1.361361   0.459458   0.198694   0.397267   0.082464   0.441605   0.384049   0.080606   0.107099   0.473502  
1.381381   0.442087   0.476976   0.462667   0.480561   0.405767   0.445425   0.057631   0.300645   0.415038  
1.401401   0.406124   0.187338   0.352001   0.174709   0.001283   0.030172   0.393875   0.274860   0.041253  
1.421421   0.265787   0.121280   0.201036   0.188266   0.348705   0.114529   0.290333   0.356536   0.344923  
1.441441   0.407222   0.468672   0.130268   0.374305   0.105216   0.109418   0.015272   0.226085   0.407323  
1.461461   0.009733   0.124278   0.115735   0.367307   0.010225   0.055071   0.454942   0.136021   0.282794  
1.481481   0.124026   0.211426   0.099379   0.177666   0.394261   0.260679   0.079649   0.173998   0.249659  
1.501502   0.320054   0.110937   0.380750   0.358984   0.117358   0.353588   0.086803   0.461915   0.135314  
1.521522   0.160303   0.390573   0.330017   0.291257   0.312673   0.040467   0.061061   0.287175   0.205984  
1.541542   0.102828   0.433267   0.141831   0.368376   0.426873   0.202996   0.134923   0.270117   0.437973  
1.561562   0.296184   0.475334   0.117575   0.089012   0.081528   0.064211   0.247638   0.438423   0.332447  
1.581582   0.273093   0.081997   0.136562   0.298386   0.024151   0.005721   0.452638   0.480354   0.395165  
1.601602   0.041512   0.140748   0.149816   0.166916   0.283774   0.498314   0.466250   0.340538   0.211406  
1.621622   0.100556   0.401759   0.092294   0.468882   0.174923   0.239704   0.302159   0.026069   0.357737  
1.641642   0.069086   0.445540   0.114050   0.048510   0.398846   0.195870   0.330078   0.036717   0.109719  
1.661662   0.265861   0.125446   0.299533   0.206891   0.095106   0.374428   0.341751   0.093820   0.368834  
1.681682   0.248670   0.353801   0.452212   0.416403   0.123425   0.489375   0.376478   0.191657   0.077649  
1.701702   0.208220   0.484695   0.165138   0.156548   0.302581   0.430300   0.339412   0.089268   0.293569  
1.721722   0.455770   0.130231   0.373563   0.166234   0.409546   0.396897   0.266943   0.348823   0.233374  
1.741742   0.324406   0.124869   0.224164   0.053079   0.383081   0.182006   0.086542   0.221413   0.125539  
1.761762   0.042759   0.283178   0.249347   0.141365   0.042834   0.465293   0.075348   0.062225   0.199369  
1.781782   0.354640   0.074433   0.043637   0.421966   0.391800   0.409232   0.130328   0.097605   0.395994  
1.801802   0.425710   0.026451   0.495407   0.157104   0.472845   0.475794   0.347331   0.401813   0.301059  
1.821822   0.297438   0.278531   0.325688   0.190359   0.464244   0.450884   0.178862   0.105018   0.233792  
1.841842   0.496329   0.294611   0.396290   0.166872   0.076290   0.326831   0.398191   0.356969   0.286322  
1.861862   0.127761   0.495364   0.052428   0.161971   0.072428   0.465243   0.057320   0.228779   0.345865  
1.881882   0.129773   0.195611   0.422457   0.121454   0.281396   0.235872   0.483886   0.340273   0.392985  
1.901902   0.073389   0.324975   0.132592   0.431411   0.341658   0.484405   0.139938   0.460888   0.231554  
1.921922   0.059267   0.267730   0.411505   0.244908   0.046618   0.225049   0.344506   0.432579   0.047882  
1.941942   0.452579   0.454540   0.300263   0.154592   0.441139   0.240854   0.343680   0.462088   0.450763  
1.961962   0.043913   0.216715   0.347527   0.348824   0.111918   0.422924   0.079039   0.111190   0.482725  
1.981982   0.294715   0.158646   0.184272   0.376155   0.078623   0.348421   0.333978   0.399437   0.153693  
2.002002   0.042194   0.449775   0.113870   0.478723   0.228285   0.382440   0.291753   0.466510   0.370923  
2.022022   0.137617   0.181787   0.159437   0.239316   0.207457   0.204573   0.283301   0.013520   0.237291  
2.042042   0.248157   0.110959   0.422866   0.470240   0.237467   0.107268   0.289373   0.280305   0.094832  
2.062062   0.375924   0.463887   0.315393   0.371138   0.120659   0.011260   0.230103   0.293354   0.403606  
2.082082   0.361589   0.230209   0.381388   0.079951   0.455414   0.215266   0.104201   0.261764   0.170207  
2.102102   0.460729   0.235282   0.421643   0.094656   0.468883   0.459887   0.202486   0.278390   0.121661  
2.122122   0.141946   0.335604   0.140375   0.286352   0.465476   0.170064   0.265605   0.039517   0.280628  
2.142142   0.288863   0.424573   0.184925   0.423615   0.335579   0.283909   0.361467   0.092721   0.121527  
2.162162   0.489851   0.439144   0.348484   0.179289   0.392470   0.390749   0.385431   0.131075   0.400882  
2.182182   0.116122   0.076055   0.047588   0.198416   0.373971   0.156510   0.119652   0.291309   0.272654  
2.202202   0.094920   0.014811   0.052080   0.342117   0.312056   0.399720   0.073054   0.464433   0.314765  
2.222222   0.202639   0.033325   0.380405   0.158421   0.492236   0.223089   0.046979   0.358149   0.321145  
2.242242   0.433034   0.212265   0.071319   0.013054   0.370739   0.366508   0.298048   0.191923   0.108600  
2.262262   0.202853   0.033335   0.103374   0.040904   0.495405   0.046777   0.001587   0.212051   0.000142  
2.282282   0.361087   0.314097   0.083921   0.196270   0.045222   0.147418   0.264678   0.228655   0.263290  
2.302302   0.489287   0.141876   0.013891   0.283221   0.104042   0.129087   0.411807   0.441415   0.258476  
2.322322   0.407309   0.264815   0.183873   0.009686   0.118374   0.040244   0.034655   0.220133   0.170262  
2.342342   0.423135   0.421541   0.337760   0.044974   0.374297   0.369495   0.238977   0.474929   0.272862  
2.362362   0.453124   0.252580   0.229294   0.038792   0.411335   0.424990   0.314224   0.268082   0.284883  
2.382382   0.076465   0.275437   0.071095   0.261880   0.178932   0.069880   0.081773   0.027118   0.108552  
2.402402   0.261419   0.431183   0.226890   0.218746   0.181226   0.155103   0.002951   0.043590   0.377900  
2.422422   0.422111   0.133733   0.023858   0.404736   0.303548   0.004979   0.353594   0.317610   0.422648  
2.442442   0.340506   0.297466   0.206491   0.360398   0.434799   0.199499   0.446474   0.212284   0.157109  
2.462462   0.477751   0.221996   0.415678   0.214876   0.120987   0.423216   0.445146   0.075643   0.127040  
2.482482   0.435298   0.027258   0.465663   0.113580   0.354417   0.482567   0.176084   0.285824   0.439130  
2.502503   0.085324   0.236354   0.471343   0.299386   0.176137   0.284512   0.098005   0.149021   0.019301  
2.522523   0.000177   0.178295   0.276039   0.096340   0.310435   0.033199   0.152002   0.000963   0.206065  
2.542543   0.224443   0.457260   0.424153   0.033340   0.448919   0.357636   0.436752   0.304691   0.244270  
2.562563   0.335127   0.462963   0.173835   0.192034   0.088543   0.238895   0.481883   0.408264   0.390872  
2.582583   0.176289   0.373999   0.130127   0.427314   0.147441   0.443670   0.202146   0.367726   0.476368  
2.602603   0.177348   0.200257   0.328864   0.185832   0.306931   0.231484   0.012589   0.109787   0.348891  
2.622623   0.147001   0.185145   0.006470   0.072422   0.158049   0.405548   0.032734   0.386622   0.150430  
2.642643   0.288947   0.459839   0.313622   0.213499   0.055383   0.334879   0.138138   0.414104   0.286200  
2.662663   0.063336   0.096516   0.452878   0.430506   0.118616   0.067715   0.076759   0.443824   0.009396  
2.682683   0.452816   0.276017   0.394069   0.084951   0.171529   0.465391   0.169413   0.334276   0.195712  
2.702703   0.060052   0.490201   0.305020   0.033654   0.160074   0.093236   0.497524   0.407207   0.222389  
2.722723   0.219366   0.466721   0.412896   0.177043   0.018263   0.481851   0.356962   0.112843   0.365762  
2.742743   0.035541   0.173145   0.081363   0.282773   0.484754   0.436600   0.145565   0.462456   0.161757  
2.762763   0.072671   0.315551   0.444416   0.329830   0.486099   0.272412   0.444820   0.078295   0.229488  
2.782783   0.096500   0.383249   0.165481   0.406738   0.319240   0.225262   0.491913   0.115429   0.270955  
2.802803   0.125618   0.091763   0.103883   0.345466   0.230589   0.260663   0.375968   0.335184   0.047939  
2.822823   0.494498   0.059219   0.212108   0.364640   0.299101   0.236257   0.094644   0.329227   0.195488  
2.842843   0.394464   0.326451   0.366780   0.048234   0.232048   0.354210   0.285812   0.338460   0.417470  
2.862863   0.018997   0.264514   0.251794   0.112709   0.460458   0.095839   0.404331   0.394735   0.320195  
2.882883   0.274442   0.434459   0.059611   0.372468   0.226585   0.263484   0.003114   0.236348   0.457570  
2.902903   0.186943   0.235713   0.219863   0.233606   0.401396   0.193635   0.254691   0.012361   0.178124  
2.922923   0.160355   0.190008   0.437062   0.140579   0.228300   0.167170   0.346647   0.081604   0.331944  
2.942943   0.046321   0.144459   0.303198   0.083223   0.094964   0.020684   0.481094   0.446235   0.094848  
2.962963   0.463895   0.388793   0.193034   0.427330   0.381257   0.429973   0.395190   0.350976   0.265018  
2.982983   0.111960   0.344005   0.151355   0.050428   0.476711   0.065811   0.044159   0.129454   0.435774  
3.003003   0.393201   0.380957   0.346055   0.203928   0.359781   0.121230   0.374612   0.229940   0.011535  
3.023023   0.386617   0.353321   0.222920   0.105517   0.427073   0.347796   0.458212   0.113943   0.486341  
3.043043   0.198477   0.290145   0.333486   0.387808   0.151399   0.116373   0.493867   0.090071   0.392694  
3.063063   0.334848   0.170144   0.322441   0.264198   0.245734   0.349518   0.093971   0.263177   0.474494  
3.083083   0.452384   0.161962   0.445097   0.029577   0.213736   0.238642   0.106231   0.420686   0.127725  
3.103103   0.173232   0.282979   0.218224   0.465243   0.206007   0.097895   0.116993   0.131896   0.136859  
3.123123   0.366075   0.474565   0.416563   0.237674   0.009792   0.393605   0.334226   0.147266   0.160331  
3.143143   0.340311   0.487604   0.050376   0.140767   0.432370   0.268091   0.266979   0.116475   0.264410  
3.163163   0.434694   0.334572   0.062889   0.080153   0.211961   0.428529   0.252447   0.119354   0.297357  
3.183183   0.379730   0.180065   0.396571   0.078313   0.107985   0.367605   0.250815   0.273627   0.127972  
3.203203   0.446966   0.398449   0.480070   0.493614   0.216263   0.082241   0.319832   0.091815   0.277823  
3.223223   0.444614   0.135841   0.348965   0.471992   0.353325   0.218268   0.418609   0.213768   0.351389  
3.243243   0.277014   0.366032   0.095169   0.473465   0.296059   0.258095   0.113536   0.072320   0.159328  
3.263263   0.238689   0.212058   0.188908   0.229972   0.209164   0.460758   0.444227   0.123381   0.302670  
3.283283   0.224104   0.404061   0.156087   0.378538   0.385949   0.479709   0.225832   0.491635   0.096734  
3.303303   0.373790   0.236446   0.192112   0.020418   0.178742   0.200182   0.236027   0.271962   0.047251  
3.323323   0.353375   0.067826   0.174956   0.330613   0.449805   0.321894   0.002777   0.489073   0.047765  
3.343343   0.217403   0.125245   0.369124   0.125446   0.191259   0.179969   0.463409   0.380087   0.247963  
3.363363   0.233682   0.071110   0.317894   0.332274   0.349424   0.231004   0.330251   0.215703   0.281326  
3.383383   0.020170   0.279308   0.486825   0.045348   0.017553   0.058642   0.318828   0.075236   0.101529  
3.403403   0.217028   0.191985   0.455744   0.033438   0.319760   0.077675   0.160728   0.199206   0.169990  
3.423423   0.421101   0.022225   0.047088   0.401896   0.452136   0.043738   0.366787   0.432265   0.274922  
3.443443   0.222779   0.418439   0.242236   0.123577   0.210289   0.008482   0.406273   0.226381   0.450237  
3.463463   0.384948   0.332425   0.238657   0.215593   0.368413   0.335426   0.235079   0.052946   0.062089  
3.483483   0.095921   0.476051   0.138092   0.087699   0.294750   0.250911   0.136499   0.089826   0.034747  
3.503504   0.315290   0.474038   0.083897   0.081327   0.023150   0.091176   0.317051   0.331701   0.035382  
3.523524   0.449125   0.217509   0.441782   0.128953   0.214109   0.193457   0.178861   0.210706   0.378132  
3.543544   0.140949   0.033998   0.487451   0.448874   0.351505   0.023628   0.385633   0.204503   0.116382  
3.563564   0.025105   0.239122   0.201872   0.205501   0.081614   0.276648   0.170069   0.458749   0.450503  
3.583584   0.027448   0.237806   0.156597   0.289349   0.328341   0.255238   0.242242   0.467138   0.411269  
3.603604   0.203924   0.442104   0.352498   0.204485   0.342741   0.228606   0.087502   0.351106   0.227932  
3.623624   0.127571   0.245090   0.179488   0.275089   0.372598   0.243647   0.114291   0.293053   0.012771  
3.643644   0.098645   0.373257   0.017614   0.138352   0.308731   0.054127   0.342540   0.053095   0.305553  
3.663664   0.096489   0.179191   0.247351   0.213366   0.424210   0.435988   0.305446   0.457042   0.139690  
3.683684   0.427496   0.365661   0.163746   0.339778   0.178525   0.293489   0.472146   0.062450   0.008311  
3.703704   0.375972   0.256365   0.291239   0.363874   0.274326   0.443178   0.114120   0.488007   0.235329  
3.723724   0.404731   0.019516   0.440187   0.304852   0.248877   0.303438   0.284892   0.262788   0.219037  
3.743744   0.404115   0.256683   0.210778   0.142178   0.303694   0.124932   0.454449   0.079323   0.379506  
3.763764   0.490181   0.124303   0.106895   0.329536   0.157280   0.415036   0.421221   0.020469   0.339843  
3.783784   0.064147   0.205397   0.022506   0.300639   0.462864   0.144891   0.096173   0.203970   0.278309  
3.803804   0.267235   0.456740   0.182434   0.179511   0.483330   0.461817   0.298388   0.185122   0.247086  
3.823824   0.017092   0.411980   0.219955   0.455346   0.093031   0.372299   0.152514   0.279890   0.031082  
3.843844   0.037620   0.374991   0.028998   0.428495   0.258333   0.009333   0.446247   0.257791   0.324085  
3.863864   0.453822   0.477646   0.378459   0.448561   0.148270   0.183855   0.260236   0.129785   0.113493  
3.883884   0.470220   0.273247   0.298178   0.460822   0.270161   0.410805   0.498186   0.357140   0.291552  
3.903904   0.110499   0.381545   0.386991   0.300531   0.308973   0.261054   0.132009   0.431119   0.339751  
3.923924   0.200859   0.073133   0.237922   0.060463   0.325524   0.083101   0.181093   0.332531   0.261110  
3.943944   0.282317   0.420507   0.001470   0.450725   0.491021   0.167037   0.165135   0.454815   0.030845  
3.963964   0.376029   0.305649   0.236665   0.407401   0.207008   0.130835   0.488087   0.259947   0.202305  
3.983984   0.350970   0.286392   0.334106   0.065945   0.404266   0.012370   0.214499   0.254707   0.291314  
4.004004   0.430713   0.011896   0.198345   0.086692   0.016028   0.348173   0.162668   0.263397   0.361891  
4.024024   0.147641   0.363370   0.048944   0.065379   0.167255   0.055514   0.275814   0.430507   0.091679  
4.044044   0.304272   0.174887   0.278707   0.495885   0.279339   0.066402   0.328857   0.172228   0.139173  
4.064064   0.295159   0.383062   0.263899   0.272739   0.325405   0.136668   0.445019   0.021856   0.414703  
4.084084   0.131856   0.495709   0.445000   0.324787   0.436221   0.375567   0.001564   0.318561   0.188806  
4.104104   0.125417   0.111066   0.105783   0.458479   0.251901   0.346028   0.302416   0.255495   0.442401  
4.124124   0.321413   0.139959   0.135979   0.047516   0.329235   0.234579   0.092194   0.022947   0.290462  
4.144144   0.037066   0.415085   0.233571   0.279298   0.299481   0.098221   0.445447   0.469754   0.032980  
4.164164   0.269990   0.290220   0.213875   0.216489   0.058192   0.427905   0.384026   0.328205   0.062518  
4.184184   0.338765   0.003662   0.059674   0.461009   0.207184   0.489312   0.494829   0.232219   0.071423  
4.204204   0.090188   0.103130   0.366639   0.384338   0.147135   0.458132   0.023376   0.298891   0.246989  
4.224224   0.347114   0.430769   0.331719   0.191572   0.308931   0.126991   0.337627   0.297206   0.304546  
4.244244   0.001157   0.272889   0.341167   0.171678   0.081580   0.199748   0.253126   0.283348   0.480646  
4.264264   0.428641   0.052058   0.089516   0.469624   0.108539   0.056904   0.234311   0.180458   0.247499  
4.284284   0.110849   0.258253   0.080444   0.484841   0.034983   0.026338   0.262572   0.477383   0.211059  
4.304304   0.080645   0.097947   0.312531   0.131990   0.167445   0.325162   0.077475   0.161416   0.237494  
4.324324   0.359780   0.057577   0.426775   0.484248   0.118020   0.217453   0.168246   0.345328   0.338236  
4.344344   0.221274   0.078332   0.455821   0.276493   0.153916   0.345679   0.311210   0.495537   0.131044  
4.364364   0.002971   0.255735   0.261441   0.485601   0.000284   0.072610   0.291099   0.191939   0.342154  
4.384384   0.429989   0.484525   0.264932   0.140303   0.397364   0.383497   0.117254   0.430804   0.126870  
4.404404   0.418567   0.377201   0.475674   0.078769   0.008281   0.418346   0.429148   0.199158   0.293475  
4.424424   0.053804   0.421133   0.002698   0.387931   0.128857   0.198049   0.439773   0.308530   0.177316  
4.444444   0.466520   0.292921   0.136694   0.214509   0.347800   0.010601   0.340705   0.291648   0.133226  
4.464464   0.283005   0.399820   0.288463   0.478765   0.264995   0.433840   0.003636   0.163098   0.410700  
4.484484   0.348536   0.465123   0.030376   0.072100   0.235549   0.449392   0.354192   0.494275   0.063153  
4.504505   0.229033   0.028274   0.110742   0.373981   0.483162   0.318213   0.096032   0.230714   0.464718  
4.524525   0.008521   0.292426   0.097806   0.401775   0.188437   0.463671   0.054593   0.119147   0.490420  
4.544545   0.002803   0.364446   0.086450   0.419938   0.285043   0.212398   0.351340   0.392882   0.066454  
4.564565   0.005183   0.486570   0.318498   0.182821   0.061873   0.219583   0.105748   0.321862   0.273973  
4.584585   0.134391   0.130524   0.023800   0.313634   0.273819   0.420838   0.089214   0.039727   0.176113  
4.604605   0.120820   0.211098   0.203271   0.459469   0.117255   0.397253   0.283710   0.490329   0.058480  
4.624625   0.117907   0.035591   0.127118   0.100520   0.117311   0.349297   0.402523   0.371810   0.166175  
4.644645   0.370192   0.046906   0.452005   0.193001   0.453745   0.481446   0.047154   0.034332   0.254454  
4.664665   0.438957   0.287644   0.404153   0.439391   0.383018   0.242374   0.445762   0.241813   0.138534  
4.684685   0.270453   0.107545   0.381534   0.001187   0.074023   0.061536   0.207421   0.434974   0.422678  
4.704705   0.190443   0.266936   0.245827   0.365304   0.217026   0.177574   0.378315   0.101690   0.420949  
4.724725   0.121778   0.121972   0.059293   0.415206   0.331852   0.373586   0.473881   0.393955   0.496906  
4.744745   0.441805   0.124926   0.306038   0.109715   0.220054   0.420401   0.321874   0.260006   0.125306  
4.764765   0.107005   0.267200   0.456435   0.237357   0.010628   0.330863   0.167449   0.197398   0.286449  
4.784785   0.408509   0.000378   0.363486   0.278469   0.400326   0.447597   0.458072   0.267354   0.448264  
4.804805   0.114364   0.211737   0.169108   0.482269   0.473638   0.157697   0.456232   0.245197   0.418125  
4.824825   0.061494   0.198297   0.369224   0.351598   0.118047   0.259709   0.195324   0.256205   0.421198  
4.844845   0.321275   0.226128   0.223951   0.144835   0.306150   0.021807   0.125311   0.244345   0.340196  
4.864865   0.150309   0.230919   0.418341   0.183368   0.156683   0.190031   0.300673   0.498939   0.105040  
4.884885   0.472371   0.475277   0.030643   0.369226   0.449144   0.113262   0.179078   0.417841   0.054836  
4.904905   0.187934   0.187661   0.134182   0.045782   0.167417   0.380642   0.085577   0.082963   0.252939  
4.924925   0.256654   0.308308   0.269398   0.355860   0.177997   0.285209   0.036444   0.063301   0.428627  
4.944945   0.133974   0.035757   0.369542   0.048783   0.182770   0.385681   0.464811   0.469302   0.100909  
4.964965   0.174979   0.371527   0.296664   0.490544   0.020307   0.169939   0.028837   0.379368   0.235525  
4.984985   0.327112   0.040836   0.358737   0.291789   0.431133   0.334837   0.278107   0.035157   0.447554  
5.005005   0.356079   0.411197   0.174042   0.250661   0.368617   0.413608   0.010466   0.335023   0.128409  
5.025025   0.378466   0.435610   0.272350   0.161959   0.085014   0.298012   0.064109   0.016438   0.325178  
5.045045   0.444805   0.457974   0.317609   0.498447   0.197834   0.379057   0.063904   0.187476   0.049219  
5.065065   0.365886   0.408004   0.050043   0.193753   0.235215   0.164276   0.095611   0.302481   0.316609  
5.085085   0.157312   0.152430   0.085101   0.373550   0.041626   0.027755   0.069189   0.290785   0.374416  
5.105105   0.137294   0.150309   0.100906   0.452909   0.031907   0.187797   0.180353   0.443301   0.379024  
5.125125   0.303535   0.125448   0.498752   0.161507   0.222191   0.418155   0.116664   0.101348   0.342137  
5.145145   0.128348   0.028343   0.094331   0.043968   0.059680   0.337862   0.456684   0.396427   0.167624  
5.165165   0.310150   0.411850   0.249880   0.025728   0.452829   0.139549   0.270877   0.473885   0.092474  
5.185185   0.394216   0.197101   0.036388   0.307756   0.071720   0.164052   0.318298   0.392777   0.006655  
5.205205   0.104611   0.162162   0.145659   0.486691   0.000122   0.163203   0.331876   0.389505   0.344627  
5.225225   0.334729   0.204233   0.356778   0.434147   0.306331   0.232790   0.497885   0.147501   0.248632  
5.245245   0.356981   0.398379   0.094331   0.337174   0.101142   0.281367   0.300913   0.401387   0.222777  
5.265265   0.483852   0.323641   0.301338   0.448963   0.489177   0.209880   0.490342   0.257986   0.230831  
5.285285   0.467920   0.461667   0.351019   0.012595   0.221305   0.229293   0.235490   0.398663   0.404808  
5.305305   0.395372   0.281725   0.468217   0.238693   0.384383   0.424533   0.228686   0.466694   0.187846  
5.325325   0.321373   0.390656   0.340527   0.071849   0.071900   0.330926   0.353694   0.187887   0.050470  
5.345345   0.315126   0.062553   0.282953   0.186896   0.469663   0.373862   0.044113   0.445551   0.063720  
5.365365   0.467181   0.133332   0.301595   0.125903   0.156580   0.280969   0.253817   0.272137   0.161114  
5.385385   0.370505   0.235331   0.162509   0.119735   0.466423   0.219331   0.221114   0.381536   0.138006  
5.405405   0.142502   0.104615   0.194252   0.177708   0.116787   0.431606   0.400023   0.310933   0.369301  
5.425425   0.346755   0.175635   0.125814   0.278223   0.371368   0.191415   0.450142   0.158086   0.071042  
5.445445   0.484198   0.317473   0.347378   0.348188   0.147206   0.045765   0.479942   0.461229   0.000617  
