rho	        P	        Br	        Bphi	    Bz	        ur	        uphi	    uz	        T           Phi
9.727461	-4.026271	-9.998673	1.293854	-3.580782	-8.361850	-5.117724	-4.506992	3.768793	3.623756
-0.056221	3.998137	-9.396608	-7.028567	-5.934645	-9.748887	5.826244	9.182117	-4.552514	-4.254647
5.700905	1.960023	-8.214669	-6.678650	-9.067214	8.892561	1.217804	3.791283	-8.943881	7.417387
8.541135	1.910944	-9.189001	-3.000286	5.235571	-7.019836	-7.012902	-8.944695	-2.263068	2.894954
5.855015	4.148875	9.035425	-4.168871	9.404362	-2.128152	8.120287	-1.593470	-8.413915	7.180188
-1.413791	2.325033	2.656935	-2.836662	3.181677	3.737570	-2.436496	-6.836001	9.246530	5.473772
8.648016	-2.302665	6.132345	8.920727	8.240747	-0.103531	5.083542	-9.752631	-3.044525	-1.519325
6.163208	0.641798	-9.512022	8.627554	-0.153137	8.816363	-8.647011	7.787028	0.454805	2.107977
6.534615	-3.518467	5.419960	-5.535348	1.928823	6.481849	7.118825	9.943021	7.163903	-5.699620
-8.130348	-4.910825	6.883818	-4.685854	5.911059	8.646090	-7.457212	-4.871299	-7.174305	-1.362563
0.982937	-2.947166	0.458566	9.121169	-9.389694	0.525318	0.831987	-0.042370	0.120008	2.828632
5.601547	5.583866	5.642464	4.550522	-2.400652	4.553679	-0.331831	-1.476824	-0.030372	2.207376
3.700121	3.436203	-3.649717	-1.671487	4.164973	2.292504	9.924806	5.290793	2.670006	-4.005914
-0.258389	8.287423	-8.205475	-0.107046	-2.114307	-8.104127	3.593391	8.774751	8.172447	9.223195
-8.707896	-9.092502	-8.758837	0.266536	6.597777	2.058618	4.970021	-2.751653	-0.560456	-0.826096
-4.758730	4.998717	5.280698	-1.443668	3.940576	1.163400	8.197757	-2.222855	2.184279	2.060434
-9.523748	-4.525882	3.371649	5.300641	-8.959176	2.419559	1.519039	6.620181	6.424285	-3.526562
0.576401	-0.208684	3.563826	3.445872	-9.668397	3.079490	4.079329	-7.957906	9.326220	4.436491
-3.941912	-0.154185	-6.302988	-5.587271	-5.010986	-6.715639	3.697710	4.612164	1.896115	-5.874409
7.664544	-2.600149	4.403304	3.447920	-0.674347	4.861821	-8.935126	7.225487	-6.495422	-1.527542
-6.512828	3.689581	8.566438	-8.606004	5.639508	-4.019735	2.674707	6.738137	6.570265	4.608561
8.843627	8.524519	-3.997139	-2.165776	0.639983	-0.007110	-3.311082	-6.589096	1.998511	5.207928
-1.673052	1.153777	-7.519961	-8.928393	-9.331142	-4.370882	-9.843454	9.810852	-3.808606	6.001907
-7.072560	-3.378222	9.096138	-7.360869	-1.017449	1.138081	1.781780	1.696707	-9.189039	-3.239015
-1.796283	5.283764	8.441256	7.388684	7.241920	-0.843581	-1.517232	5.771968	-4.057273	-4.591304
-1.890716	-5.615303	-8.418989	6.731661	3.740461	-0.398015	-7.474631	-9.256481	-4.845195	6.331529
-7.855553	8.388196	-6.816984	-0.012861	4.764212	8.760932	-3.293480	8.797334	8.615116	-6.871260
0.870448	-1.021421	-5.946847	-3.663314	6.492390	-2.164340	1.818055	-3.204582	-4.393343	-8.294344
-2.828212	0.943525	5.675513	0.560936	7.022113	-0.427076	-2.755716	8.372652	8.105760	5.347100
-0.274777	0.461158	-8.044374	8.867048	-5.660392	9.703219	-2.046712	9.412837	6.704082	-4.860373
-3.290633	0.220617	-8.882172	-8.806689	8.081937	-2.695737	-3.067755	-6.857673	6.492718	-6.014153
